genes,log2FoldChange_0,log2FoldChange_1,log2FoldChange_2
FDX2,0,0,1
MEP1A,1,0,0
SPNS2,0,1,0
TEX22,0,1,0
INO80E,0,0,1
BPIFB2,0,1,0
PLCL1,1,0,0
ZNF791,0,0,1
SSBP4,0,1,0
NUDT22,0,0,1
FLRT1,1,0,0
C15ORF59,1,0,0
ERLIN1,0,0,1
SNPH,0,0,1
NAA60,0,0,1
CDCA7L,0,0,1
DNASE1,0,1,0
TPH1,1,0,0
PSPC1,0,0,1
CLCNKA,0,0,1
AHCYL1,0,0,1
TSPAN1,1,0,0
GSDMC,0,1,0
SYNE2,0,0,1
DYRK4,0,0,1
AKAP9,1,0,0
NDUFA10,0,0,1
MRPL12,0,0,1
SPTSSA,0,0,1
TMEM115,0,0,1
IGFLR1,0,0,1
ARAP3,0,0,1
ZNF84,0,0,1
C9ORF135,1,0,0
TMEM167A,0,0,1
ZNF350,0,0,1
GGT1,0,0,1
DNPEP,0,0,1
RNASEK,0,0,1
KIFC2,0,1,0
DNAJC9,0,0,1
TNPO3,0,0,1
KIF1C,0,0,1
VPS9D1,0,0,1
AL139260.3,1,0,0
CTIF,0,0,1
ODF2L,0,0,1
SMIM10,1,0,0
CTSO,0,0,1
FUK,0,0,1
POLR1A,0,0,1
RMDN2,1,0,0
SPTY2D1,0,0,1
MTMR9,0,0,1
GNAT1,0,1,0
STK40,0,0,1
GPR183,1,0,0
RGS5,1,0,0
FBN3,0,1,0
MOGS,0,0,1
C3ORF20,0,0,1
UPK1A,0,1,0
IL10RA,1,0,0
PMPCA,0,0,1
FKBP1B,1,0,0
TRAPPC8,0,0,1
PACS1,0,0,1
MBOAT1,1,0,0
ITPRIP,0,0,1
ATP6V0D1,0,0,1
EPHA4,0,0,1
ASXL3,1,0,0
CUL7,0,0,1
SPRR2E,0,1,0
LGR6,0,1,0
MYOT,1,0,0
TSPAN31,0,0,1
TAS2R38,0,1,0
SP110,0,0,1
FAM3D,1,0,0
SNU13,0,0,1
UBR1,0,0,1
LRRC37A3,0,1,0
SGPL1,0,0,1
C19ORF68,0,0,1
ZNF524,0,0,1
SLC6A6,0,1,0
ZNF366,1,0,0
CSNK1G3,0,0,1
PHAX,0,0,1
ZFP3,1,0,0
ARHGAP20,1,0,0
ZNF540,1,0,0
DKK4,0,1,0
BRDT,0,1,0
CCDC153,0,0,1
MS4A4A,1,0,0
GAS6,0,0,1
TRPC3,0,0,1
ELMOD1,1,0,0
C11ORF24,0,0,1
PAPD5,0,0,1
MSRB3,1,0,0
CTSE,0,1,0
EVPL,0,1,0
BAIAP2,0,0,1
WRAP73,0,0,1
ROR1,1,0,0
QTRT2,0,0,1
CNTNAP2,0,0,1
DCDC1,0,1,0
GSPT1,0,0,1
SCLT1,0,0,1
HS6ST1,0,0,1
NME4,0,0,1
PVALB,1,0,0
TMEM217,0,0,1
DDO,0,0,1
CYBRD1,1,0,0
CDC34,0,0,1
PRC1,0,1,0
RIPK2,0,1,0
MYO3B,0,1,0
LSM14B,0,0,1
NHLRC3,0,0,1
ANKRD53,1,0,0
MAGEB17,0,1,0
GPR37,0,0,1
KCTD4,1,0,0
CTSB,0,0,1
TRPS1,0,0,1
PTGR1,1,0,0
LAMP3,0,0,1
MUC12,1,0,0
ST8SIA1,1,0,0
BLOC1S5-TXNDC5,1,0,0
CABYR,0,1,0
MAMDC4,0,0,1
BBS12,0,0,1
PHF21B,1,0,0
MIOX,0,1,0
LEPROTL1,0,0,1
C2ORF74,1,0,0
GAL3ST4,0,0,1
SMG6,0,0,1
TRIM74,0,0,1
C6ORF89,0,0,1
DPP6,1,0,0
KARS,0,0,1
PPM1J,0,1,0
MRPS36,0,0,1
DEFB124,0,0,1
LRP12,0,0,1
CPZ,0,0,1
BAALC,1,0,0
KL,1,0,0
TLK2,0,0,1
PSME3,0,0,1
UGT1A10,1,0,0
MAPK3,1,0,0
SNRPD2,0,0,1
SYCE1L,0,0,1
KCNS2,1,0,0
PM20D2,0,0,1
RUBCN,0,0,1
USP31,0,0,1
INO80C,0,0,1
EPB41L4B,1,0,0
PDXK,0,0,1
DFFB,0,0,1
SPINT2,0,0,1
NQO1,0,0,1
UBE2N,0,0,1
RCOR2,0,1,0
PLBD2,0,0,1
PXK,0,0,1
HMGXB4,0,0,1
PLXNA2,1,0,0
MTHFD1L,0,1,0
CD8B,0,0,1
PEX11B,0,0,1
BUB1B-PAK6,0,1,0
PCDHGB2,0,0,1
NMRK2,1,0,0
RAB3D,0,0,1
EFCAB5,0,0,1
OR51E1,0,1,0
C9ORF72,0,0,1
ISYNA1,0,1,0
KIAA1524,0,1,0
SUB1,0,0,1
RPS20,0,0,1
MGAT2,0,0,1
POLA1,0,0,1
UBE2A,0,0,1
MCRS1,0,0,1
OPRL1,0,0,1
ADGRD1,1,0,0
RIPOR3,0,0,1
SELENBP1,1,0,0
RAB44,1,0,0
TULP2,0,0,1
BAX,0,0,1
NCR3,1,0,0
RAB3B,1,0,0
CPNE4,1,0,0
BIRC7,0,1,0
CNNM2,1,0,0
TBX3,0,0,1
AL136295.5,0,0,1
FOXF2,1,0,0
ZNF274,0,0,1
RGS7BP,0,0,1
THAP8,0,0,1
SALL3,0,1,0
ECSCR,0,0,1
C21ORF58,0,0,1
CEP290,0,0,1
SLC27A2,0,0,1
FBXO40,1,0,0
NEIL2,0,0,1
ST7,0,0,1
EPS8L1,0,0,1
METTL7B,0,0,1
FZD10,0,1,0
ASIC1,0,1,0
COG1,0,0,1
ZNF385B,1,0,0
C10ORF35,0,1,0
TTLL7,1,0,0
VASN,0,0,1
DNTTIP2,0,0,1
ANKS4B,0,0,1
P2RY4,1,0,0
SAMD15,0,0,1
STX19,0,0,1
BDKRB1,1,0,0
MTURN,0,0,1
MRPS17,0,0,1
CCNJL,1,0,0
SOX21,0,1,0
1-Mar,0,0,1
ANO3,1,0,0
OIT3,0,0,1
ZSWIM6,1,0,0
HMSD,0,0,1
ARG2,0,1,0
C12ORF45,0,0,1
ZNF707,0,0,1
HSPB2,1,0,0
SYNJ2BP,0,0,1
MTHFR,0,0,1
GATAD1,0,0,1
MPI,0,0,1
TIGD4,0,1,0
ATE1,0,0,1
TPSAB1,1,0,0
ALKAL2,1,0,0
METTL2A,0,0,1
SERF1A,0,0,1
CDC42EP4,0,0,1
SKAP2,0,0,1
UTP11,0,0,1
Z83844.1,0,0,1
LRP1B,1,0,0
SERINC2,0,0,1
PXMP2,1,0,0
FAM155B,0,1,0
ATXN10,0,0,1
RASL12,1,0,0
GPR142,1,0,0
FAM81A,0,0,1
UBE2R2,0,0,1
ZFR,0,0,1
ANKDD1B,0,0,1
SLC14A2,1,0,0
STOX2,1,0,0
B3GALT5,1,0,0
MYH3,0,0,1
USP13,0,0,1
ZNF835,1,0,0
CPB2,0,1,0
PCDHB3,0,0,1
INO80B,0,0,1
MTMR2,0,0,1
PLA2G4B,0,1,0
TMEM131L,0,0,1
ABCC8,1,0,0
MMS22L,0,1,0
IQCH,0,1,0
MTMR3,0,0,1
FGF9,1,0,0
FAM229A,0,0,1
TMEM129,0,0,1
CPEB1,1,0,0
ZFP91,0,0,1
ATP6V1A,0,0,1
SFR1,0,0,1
USMG5,0,0,1
CENPO,0,0,1
CLDN23,1,0,0
ADRB1,1,0,0
WDR72,0,1,0
KIF20B,0,0,1
CEACAM19,0,0,1
SLC25A29,0,1,0
MGP,1,0,0
CFAP46,0,1,0
TMEM243,0,0,1
PPBP,0,1,0
COL6A6,0,1,0
MATK,1,0,0
HTR1B,0,0,1
SLC25A24,0,0,1
AQP8,1,0,0
KRT83,0,1,0
EGFLAM,0,0,1
TBXAS1,0,0,1
CCDC28A,0,0,1
ZBED6CL,0,0,1
EPYC,0,1,0
RUBCNL,0,1,0
SMIM14,1,0,0
ST3GAL6,0,0,1
YAP1,0,0,1
ACSS1,0,0,1
MEF2B,0,0,1
CALCB,0,1,0
DMAP1,0,0,1
AVPR1B,1,0,0
SOCS5,0,0,1
SLA,0,0,1
NONO,0,0,1
WFDC9,0,1,0
CCND3,0,0,1
SCAMP2,1,0,0
RNF32,0,1,0
ALG1,0,0,1
CENPM,0,0,1
OBP2A,0,1,0
CBX1,0,0,1
BTG2,0,0,1
PRPF39,0,0,1
DPH3,0,0,1
RNF126,0,0,1
SNHG28,0,0,1
NOP2,0,1,0
ACOX1,1,0,0
ANGEL1,0,0,1
SOBP,1,0,0
CD79B,1,0,0
SRD5A2,0,1,0
PNPO,0,0,1
CPSF4,0,0,1
SERPINI1,0,0,1
GNPNAT1,0,0,1
NMRAL1,0,0,1
CCNA2,0,1,0
CYHR1,0,0,1
KCNB1,1,0,0
SLC22A3,0,1,0
NDUFA4L2,0,1,0
SLC7A14,1,0,0
TRPV4,0,1,0
SMIM4,0,0,1
CPNE9,0,1,0
QKI,0,0,1
ASAP2,0,0,1
TSTD1,0,0,1
TPP1,0,0,1
PIGM,0,0,1
EDNRA,0,1,0
CIAPIN1,0,0,1
C6ORF120,0,0,1
ZNF260,0,0,1
GSK3B,0,0,1
FBRSL1,0,0,1
DAW1,0,1,0
8-Mar,1,0,0
RAD1,0,0,1
COL6A5,1,0,0
PRMT2,0,0,1
CCL19,1,0,0
LPCAT1,0,1,0
SVOPL,1,0,0
FGFBP3,0,0,1
DHRS4,0,0,1
C7ORF49,0,0,1
REEP6,0,1,0
ZNF441,0,0,1
SELENOT,0,0,1
GDPD3,1,0,0
AATF,0,0,1
SUSD4,0,0,1
FAM86C1,0,0,1
HKR1,0,0,1
CEBPB,0,1,0
KLRC4,0,0,1
ZNF225,0,0,1
IL23R,0,0,1
SRGAP2,0,0,1
HSPA4,0,0,1
MCM4,0,1,0
SLC4A11,0,1,0
XIAP,0,0,1
TMEM221,0,0,1
NDUFV1,0,0,1
NUMA1,0,0,1
DERA,0,0,1
RPL27A,0,0,1
RAB34,0,0,1
PSMF1,0,0,1
JARID2,0,0,1
CRYBG1,0,0,1
WDR66,0,1,0
DCAF16,0,0,1
CCDC107,0,0,1
AKR1B10,1,0,0
DGKA,0,0,1
LRRC46,0,1,0
ZSWIM3,0,0,1
RBAK,0,0,1
CYTL1,1,0,0
GZMK,0,0,1
NEFH,1,0,0
TEN1,0,0,1
SAR1A,0,0,1
UCP1,0,1,0
ASAH1,0,0,1
FAM217B,0,0,1
SPAG4,0,0,1
TLX2,1,0,0
SMIM18,0,0,1
WDR83,0,0,1
MALRD1,0,1,0
ATP5S,0,0,1
LRIF1,0,0,1
LMNTD2,0,0,1
TTC19,0,0,1
DUSP3,0,0,1
RPL22L1,0,1,0
TTLL2,0,0,1
PTGES2,0,0,1
GSAP,0,0,1
HEG1,0,0,1
CHST1,0,0,1
BRIX1,0,1,0
FEZ2,0,0,1
RAD52,0,0,1
SAP30,0,0,1
IGF2BP2,0,0,1
TMEM256-PLSCR3,0,0,1
ANO5,1,0,0
AC008687.4,0,1,0
B4GALT1,0,0,1
NOXO1,0,1,0
BCL10,0,0,1
SPTBN2,0,1,0
TNFAIP1,0,0,1
SLCO5A1,0,1,0
PBDC1,0,0,1
SGTA,0,0,1
CNBD2,0,0,1
CATSPERZ,0,1,0
SLC35B3,0,0,1
CPNE5,1,0,0
ZBTB16,1,0,0
NAA16,0,0,1
SLC4A9,1,0,0
ADSS,0,0,1
FAM156B,0,1,0
C5,0,0,1
YRDC,0,0,1
CYSLTR1,1,0,0
RPL29,0,0,1
PCDHB9,0,1,0
UXT,0,0,1
SRF,0,0,1
UQCRC1,0,0,1
YPEL2,0,0,1
RPS19,0,0,1
CLEC6A,0,1,0
COL12A1,0,1,0
IL17A,0,1,0
TRIM55,1,0,0
LRRTM2,1,0,0
HPGDS,1,0,0
EPB41L3,1,0,0
SSTR3,1,0,0
PRDX1,0,0,1
KIAA1549,0,1,0
PEX11A,1,0,0
TADA2A,0,0,1
SPOP,0,0,1
NUDCD1,0,1,0
TIMM29,0,0,1
SLC16A8,0,1,0
ENTPD3,1,0,0
IL17RE,0,0,1
SLC2A3,0,0,1
HSPA6,0,1,0
AL845331.2,1,0,0
MRPL10,0,0,1
FSD1L,0,0,1
POC1B-GALNT4,0,0,1
RNF213,0,0,1
ZNF511,0,1,0
HECA,0,0,1
RAPGEF4,0,0,1
RAVER2,1,0,0
BLOC1S5,0,0,1
FMNL3,0,0,1
ANAPC13,0,0,1
MRPL47,0,0,1
WTH3DI,1,0,0
POMGNT1,0,0,1
CENPU,0,1,0
WWOX,0,0,1
CEP72,0,1,0
NEURL1,1,0,0
ATG4B,0,0,1
ZNF148,0,0,1
ATP13A2,0,0,1
ZNF208,1,0,0
ZNF732,0,0,1
PCDH1,0,0,1
CACFD1,1,0,0
LY9,1,0,0
FER1L6,1,0,0
CD209,1,0,0
SCRN1,0,0,1
IER3,0,1,0
CARMIL1,0,0,1
SUSD5,1,0,0
S100G,0,1,0
AQP11,1,0,0
EPO,0,1,0
GADD45B,0,0,1
C2CD5,0,0,1
GAREM2,1,0,0
FCER1A,1,0,0
TIMM9,0,0,1
A1BG,0,0,1
XIRP1,0,1,0
AC068790.8,0,0,1
PRR4,0,0,1
DAP,0,0,1
LCP2,0,0,1
PPP1R14C,0,0,1
XAGE2,0,1,0
PKNOX1,0,0,1
KCTD11,0,0,1
TCTN1,0,0,1
BTBD9,0,0,1
FERMT2,1,0,0
PTTG1,0,1,0
ANKRD62,1,0,0
RNF10,0,0,1
PMPCB,0,0,1
PTPN18,0,0,1
TMEM50B,0,0,1
PIGW,0,0,1
FSIP2,1,0,0
SLC51B,1,0,0
LARGE2,0,1,0
PXDN,0,0,1
ADAD2,1,0,0
LRCH1,0,0,1
ZNF587B,0,0,1
ARSE,0,0,1
FGFR1,1,0,0
GSTM5,1,0,0
CSF3R,0,0,1
ZNF541,0,1,0
FNBP1,1,0,0
SPATA31E1,1,0,0
MELTF,0,1,0
FOSL1,0,1,0
HNRNPK,0,0,1
RANBP6,0,0,1
SH3KBP1,0,0,1
TPO,1,0,0
SLC38A7,0,0,1
EXOSC2,0,1,0
WDR97,0,1,0
TRAF3IP3,1,0,0
HOXC13,0,1,0
SEC61A2,0,0,1
COL19A1,1,0,0
PAX9,0,1,0
COX10,0,0,1
HSD11B1L,0,0,1
KIAA1614,0,0,1
T,0,1,0
HOXC11,0,1,0
YARS,0,0,1
PRB3,0,0,1
UBE3A,0,0,1
SERPIND1,0,1,0
LRRIQ3,0,0,1
VGLL4,0,0,1
SPA17,0,0,1
SYT15,1,0,0
ZC3H14,0,0,1
HS3ST3B1,0,0,1
KRT36,0,1,0
SMPX,1,0,0
CAPSL,0,1,0
TOMM70,0,0,1
NELFCD,0,1,0
TMEM160,0,1,0
PIWIL4,0,0,1
CD72,0,0,1
ACADM,1,0,0
ZNF579,0,1,0
DUOXA1,0,0,1
ARHGEF9,0,0,1
GPR107,0,0,1
GALNT16,1,0,0
GMFB,0,0,1
CCDC192,0,1,0
LMNB1,0,0,1
BBIP1,0,0,1
FOXD4L1,0,0,1
FAM98A,0,0,1
SLN,0,1,0
THY1,0,1,0
TESMIN,0,0,1
DIXDC1,1,0,0
FBXO18,0,0,1
SUPT4H1,0,0,1
OSGIN1,0,0,1
MVK,0,0,1
RHOB,0,0,1
SMTN,1,0,0
LARP4B,0,0,1
C8G,0,0,1
TREML4,0,1,0
BTLA,1,0,0
KLHL28,0,0,1
WDR88,0,0,1
PPP2R3B,0,1,0
SGIP1,0,0,1
DCTN2,0,0,1
PPP1R14D,1,0,0
PTPRN,1,0,0
CTNND1,0,0,1
MS4A8,1,0,0
RAP2B,0,0,1
RER1,0,0,1
METTL7A,1,0,0
CERS1,1,0,0
UTP14A,0,1,0
PPP1R15B,0,0,1
MYOZ2,1,0,0
PCBD1,0,0,1
AL512785.2,1,0,0
NRCAM,0,1,0
MAPK15,0,1,0
PLP2,0,0,1
PPP1R37,0,0,1
C8ORF74,0,1,0
NDUFB5,0,0,1
PRPF18,0,0,1
WDR41,0,0,1
ZNF704,0,0,1
TBL3,0,0,1
NEO1,1,0,0
WARS2,0,0,1
LILRA4,1,0,0
MAP3K14,0,0,1
PROKR1,1,0,0
ATP5EP2,0,1,0
LYPD5,0,0,1
ADAM19,0,0,1
RNF225,0,1,0
CSRNP1,0,0,1
KRTAP10-2,0,1,0
SMURF1,0,0,1
HEPACAM,1,0,0
HOXA6,0,0,1
SEMA5B,0,0,1
WFDC1,1,0,0
CHMP4C,0,0,1
SETD1A,0,0,1
FUBP1,0,0,1
CCDC74A,0,1,0
SCN3B,1,0,0
KIRREL3,1,0,0
XRCC2,0,1,0
PDPN,0,1,0
SLC6A14,0,1,0
PRR15L,0,0,1
ENGASE,0,1,0
TMEM151A,0,1,0
SRPK2,0,0,1
CHAMP1,0,0,1
VPREB3,1,0,0
AMMECR1L,0,0,1
USP36,0,0,1
ALDOB,0,1,0
PMS1,0,0,1
CCM2L,1,0,0
AOC2,0,0,1
CXCL11,0,1,0
TRIP11,0,0,1
ZZZ3,0,0,1
MFSD9,0,0,1
PLA2G10,1,0,0
UGT2B11,1,0,0
NAA50,0,0,1
TMEM56-RWDD3,0,0,1
TAS2R5,0,0,1
CHPT1,0,0,1
BOK,0,0,1
SLC2A4,1,0,0
AC005726.2,0,0,1
NR1I3,0,0,1
ABCD2,1,0,0
SDCCAG8,0,0,1
HSPA8,0,0,1
VAMP1,0,0,1
CASP2,0,0,1
WBP4,0,0,1
MVB12B,0,0,1
USP37,0,0,1
VRK3,0,0,1
CYP39A1,0,1,0
MYOM3,0,1,0
SPATA45,0,0,1
DHDDS,1,0,0
BMPR1A,0,0,1
TEAD4,0,1,0
CRLF1,0,0,1
DAND5,1,0,0
LRP1,0,0,1
MCTS1,0,0,1
NDUFS2,0,0,1
REN,0,1,0
SOWAHA,1,0,0
NEK5,0,1,0
HP1BP3,0,0,1
CRMP1,0,0,1
ACBD6,0,0,1
SLC10A3,0,0,1
TMEM205,0,0,1
ATG2B,0,0,1
USP38,0,0,1
TACR1,1,0,0
IL16,1,0,0
RAI1,0,0,1
PRR13,0,0,1
MICB,0,0,1
KATNA1,0,0,1
CD4,1,0,0
TMEM54,1,0,0
ODC1,0,1,0
PDGFD,1,0,0
MAGEC1,0,1,0
RDH14,0,0,1
MPP6,0,1,0
ZNF784,0,0,1
SOCS2,1,0,0
UTP4,0,1,0
AC099329.3,0,0,1
CDC42SE2,0,0,1
FGF14,1,0,0
EDF1,0,0,1
SMIM27,0,0,1
RNF111,0,0,1
CEP126,0,0,1
GAL3ST3,1,0,0
HCFC1,0,0,1
CAPN5,1,0,0
KANK2,1,0,0
RAD51AP1,0,1,0
DLGAP5,0,1,0
MCU,0,0,1
HPCAL1,0,0,1
SH3PXD2B,0,0,1
ABHD17C,0,0,1
RNF144B,0,0,1
COL4A3BP,0,0,1
CARNMT1,0,0,1
NCOA6,0,0,1
GTF3A,0,1,0
C11ORF45,0,0,1
FURIN,0,0,1
TCEANC,0,0,1
OR2L13,1,0,0
CARD9,0,0,1
ZNF572,0,0,1
DDX25,1,0,0
TMC7,0,0,1
INTS1,0,0,1
PICK1,0,0,1
TMEM240,0,0,1
KRTAP4-1,0,0,1
B4GALT2,0,0,1
ZNF697,0,1,0
UNC13A,0,0,1
OR1J4,0,1,0
SOAT2,0,1,0
KITLG,1,0,0
SLC20A1,1,0,0
GPNMB,0,0,1
CST5,0,1,0
CRP,0,1,0
CCNF,0,1,0
GPR20,0,0,1
SLC25A53,0,0,1
UGT1A8,1,0,0
KIAA1841,0,0,1
AP2B1,0,0,1
HS6ST2,0,1,0
TGIF2,0,1,0
BTNL2,1,0,0
ARHGAP9,0,0,1
GFOD1,0,0,1
IPPK,0,0,1
CAPZB,0,0,1
GATA2,0,0,1
RLN2,0,1,0
OSCP1,0,0,1
RXRA,1,0,0
SF3A3,0,0,1
PRKCD,0,0,1
HSD17B11,1,0,0
MTRNR2L1,1,0,0
EPSTI1,0,0,1
CCDC70,0,1,0
ZDHHC21,0,0,1
LANCL3,1,0,0
PLCXD2,0,0,1
LTBP2,0,0,1
CD24,0,0,1
GOLGA6L2,0,1,0
SYPL1,0,0,1
HMCN2,1,0,0
NOV,0,0,1
CAV1,1,0,0
RBM48,0,0,1
SFXN5,0,0,1
UFD1,0,0,1
CBFA2T3,0,0,1
OLFM3,1,0,0
ZNF444,0,0,1
KIF5B,0,0,1
GRIN3B,0,1,0
ATP6V1C2,0,1,0
CDK1,0,1,0
ARHGEF18,1,0,0
VAPA,0,0,1
RPL34,0,0,1
OSM,0,1,0
UQCR10,0,0,1
HSPA9,0,0,1
HRASLS5,1,0,0
MTTP,0,1,0
THEG,0,1,0
MAP1A,1,0,0
TCHH,0,0,1
SEL1L,0,0,1
ANKRD34C,1,0,0
FZD9,0,1,0
SLC25A16,0,0,1
MTFR2,0,1,0
SLC26A10,0,0,1
ZNF273,0,0,1
VWF,0,0,1
PADI2,1,0,0
ARIH2,0,0,1
ELP5,0,0,1
HIBCH,0,0,1
CSF2,0,1,0
NOL4,0,0,1
SIAE,1,0,0
CYB5B,0,0,1
MTAP,0,0,1
FCN3,0,1,0
KMT2E,0,0,1
RGS12,0,0,1
TREM1,0,1,0
TRIM59,0,1,0
UHRF1BP1L,0,0,1
FLNB,1,0,0
CLPTM1,0,0,1
CACNB1,1,0,0
GCH1,0,0,1
CCDC34,0,0,1
SLC47A2,1,0,0
COPS5,0,0,1
MPIG6B,0,0,1
BBS7,0,0,1
PAPSS1,0,0,1
KCNJ16,1,0,0
PPP1R12A,0,0,1
REV3L,0,0,1
ALDH2,0,0,1
FRMPD3,0,0,1
NR5A1,0,1,0
ZNF764,0,0,1
LAMA5,0,0,1
GATS,0,0,1
C4ORF33,0,0,1
LY6E,0,1,0
FOSL2,0,0,1
SGCD,0,0,1
AMER1,0,0,1
WDSUB1,0,0,1
NODAL,0,1,0
MYH2,1,0,0
TRRAP,0,0,1
DMXL1,0,0,1
FLII,0,0,1
PIGA,0,0,1
TMEM255B,0,1,0
TNFSF8,1,0,0
MCMDC2,0,1,0
PIR,0,0,1
KIFAP3,0,0,1
HACL1,0,0,1
ALG5,0,0,1
WFS1,0,1,0
EFHC1,0,0,1
FBF1,0,1,0
GAREM1,1,0,0
MTFR1L,0,0,1
DOK4,0,0,1
MS4A1,1,0,0
FRMD6,0,0,1
SNAP47,0,0,1
SETD6,0,1,0
CAPS,0,0,1
PHLPP1,0,0,1
UBR4,0,0,1
SLC30A9,0,0,1
PMP2,1,0,0
JADE3,0,1,0
LCN1,0,1,0
SH2D5,0,1,0
MORN3,0,1,0
RCAN3,0,0,1
NKAIN4,0,0,1
KIF15,0,0,1
AC004691.2,0,0,1
GRM7,0,0,1
EIF3H,0,0,1
SHMT2,0,1,0
PELI2,1,0,0
LIX1,1,0,0
C12ORF29,0,0,1
CLEC19A,1,0,0
CHIC1,0,0,1
KCNQ1,0,1,0
CBWD5,0,0,1
DOLPP1,0,0,1
LYPLAL1,0,0,1
CTXND1,1,0,0
ATG16L1,0,0,1
SUZ12,0,0,1
PARD6G,0,0,1
DLG1,0,0,1
ACOT1,0,0,1
SERPINE3,0,0,1
PGAP2,0,0,1
NPM1,0,1,0
POC5,0,0,1
PDSS1,0,0,1
LRP5L,0,1,0
NUTM2B,1,0,0
IRAK2,0,1,0
KDM1B,0,0,1
ZDHHC8,0,0,1
CT62,1,0,0
LAIR1,0,0,1
ZNF146,0,0,1
ADH1A,1,0,0
MTIF3,0,0,1
ANAPC1,0,0,1
GTDC1,0,0,1
GGH,0,1,0
CATSPER3,0,0,1
OTOA,1,0,0
NFE2L2,0,0,1
CTSF,1,0,0
RAF1,0,0,1
PFKFB3,0,0,1
NUP107,0,0,1
ZNF776,0,0,1
TELO2,0,0,1
NOP16,0,1,0
RGS18,1,0,0
E2F8,0,0,1
ABLIM2,0,1,0
ELOVL4,1,0,0
CLU,1,0,0
MTUS2,1,0,0
NEDD4,0,0,1
DYNLRB1,0,0,1
FAM193B,0,0,1
GOLGA8O,1,0,0
EIF4G1,0,0,1
POTEF,0,1,0
LPO,0,1,0
DNLZ,0,0,1
RARS,0,0,1
CDHR5,1,0,0
SPATA5L1,0,0,1
SH3PXD2A,0,0,1
KLHDC2,0,0,1
CASP3,0,0,1
CNTD2,0,1,0
AC026464.4,0,0,1
CALCA,0,1,0
SLC6A3,0,1,0
C16ORF58,0,0,1
PLPPR1,0,1,0
TXLNA,0,0,1
ZNF281,0,0,1
MAD2L2,0,1,0
YIPF1,0,0,1
NLGN4X,1,0,0
TAMM41,0,0,1
IMPAD1,0,0,1
CLIC3,0,1,0
KLK6,0,1,0
DNAJC27,0,0,1
ANTXR2,1,0,0
ACTL6A,0,0,1
DHRS1,0,0,1
MIGA2,0,0,1
SOX12,0,1,0
TTC17,0,0,1
IL17B,1,0,0
G3BP1,0,0,1
P2RX5-TAX1BP3,0,0,1
LIPA,0,0,1
NOD1,0,0,1
LSP1,1,0,0
FGFR4,0,1,0
GAS8,0,0,1
ECE1,1,0,0
AGAP3,0,1,0
PURA,0,0,1
KLF1,0,1,0
C10ORF128,1,0,0
MYBL2,0,1,0
DTNA,1,0,0
G0S2,0,0,1
GLRA4,1,0,0
SLC25A26,0,0,1
ALG3,0,1,0
PI15,1,0,0
RPGRIP1L,0,1,0
FAAP24,0,0,1
MRPL35,0,0,1
RNF141,0,0,1
PBRM1,0,0,1
ZNF503,0,0,1
LEKR1,0,0,1
OSGIN2,0,0,1
TUSC3,1,0,0
RHOBTB1,0,0,1
SULT1E1,0,1,0
CALM2,0,0,1
CTSZ,0,0,1
ACAT1,1,0,0
TFEB,0,0,1
STAT4,0,0,1
ZBED4,0,0,1
TFAP2E,0,0,1
TECPR2,0,0,1
C17ORF75,0,0,1
LUC7L3,0,0,1
KLRC4-KLRK1,1,0,0
SYT6,1,0,0
RARRES1,0,0,1
MAP2,1,0,0
DUS2,0,0,1
ATF4,0,0,1
ARHGEF37,1,0,0
GLB1L2,0,0,1
DHRS3,0,0,1
C2ORF88,1,0,0
ZNF813,0,0,1
SPEF2,0,0,1
MYO1D,1,0,0
GLG1,0,0,1
CYP2F1,0,1,0
CDC40,0,0,1
MFSD13A,0,0,1
FUNDC1,0,0,1
AP5B1,0,0,1
KLC2,0,0,1
ASIC3,0,1,0
ORM1,0,1,0
ZMYND10,0,1,0
KBTBD2,0,0,1
ATP1A4,0,0,1
HNF1A,0,0,1
THEMIS2,0,0,1
KRT27,1,0,0
CHIT1,0,1,0
AC135586.2,1,0,0
GRK5,0,0,1
FGD5,0,0,1
NME7,0,0,1
MECP2,0,0,1
DHFR2,0,0,1
ADRB2,1,0,0
HPD,0,0,1
ST3GAL1,0,0,1
ZSCAN4,0,1,0
POLR2I,0,0,1
SCGB1D2,1,0,0
SLC35B4,0,0,1
DEK,0,0,1
FOXN1,0,0,1
RAB7A,0,0,1
MRPL57,0,0,1
TMED3,0,0,1
ZBTB34,0,0,1
GH1,1,0,0
SGSM3,0,0,1
WDR47,0,0,1
EMC8,0,0,1
HNRNPA3,0,0,1
FAM219A,0,0,1
ST6GALNAC5,0,0,1
MYL6B,0,0,1
ATG101,0,0,1
ABCC9,1,0,0
PCMTD2,0,1,0
DCUN1D5,0,1,0
BYSL,0,1,0
ZNF280A,0,1,0
AC008770.2,0,1,0
TOMM40L,0,0,1
CCDC178,1,0,0
CKM,1,0,0
MT4,0,1,0
KIF12,0,1,0
ELOVL5,0,0,1
PDRG1,0,1,0
GADL1,0,1,0
TM6SF2,1,0,0
MED30,0,0,1
CLIC1,0,0,1
TAS2R14,0,0,1
STXBP5L,1,0,0
MMP24,0,0,1
TMEM229B,0,0,1
OSBPL3,0,1,0
GAB1,1,0,0
CLDN2,0,1,0
SYT12,0,1,0
KMT5A,0,0,1
MNX1,0,0,1
DCHS1,0,0,1
CDK12,0,0,1
PTPN6,0,0,1
