,log2FoldChange
PPM1K,2
VPS36,2
PRKCD,2
PTP4A3,0
GRID2IP,0
CA1,0
GOT2,2
DIS3L2,2
CCDC60,0
RRAS2,2
OGN,0
NDC1,2
STIM1,2
HES4,1
C4A,0
WDR82,2
TLR5,0
COL25A1,0
PIM1,2
EXTL3,2
SULF2,1
MEX3D,2
YJEFN3,1
TMEM47,0
NACC1,2
CCDC158,0
SLC5A3,2
PRR32,0
RAB10,2
KRI1,2
CCNE2,1
ZP3,1
PLAUR,1
HTRA1,1
MYO5A,2
RNF103,2
FMN1,0
NSUN7,0
SLC30A3,1
DBI,2
RASD2,1
ANKMY1,2
DLG3,2
RASL12,0
NDFIP1,2
USP30,2
NOVA1,0
OSBPL1A,2
SLC38A5,1
SHKBP1,2
TBX5,1
MYH4,0
LIM2,1
POTEF,1
CHST12,2
CSNK1E,2
NRIP2,2
CBS,1
ACER1,0
DHRS12,2
ABHD15,2
CLVS2,0
EPHA2,0
MEOX2,0
GK,2
ACOT1,0
PRKCSH,2
UCHL1,1
ROR1,0
SHISA7,1
ZNF367,2
UBTD2,2
OSCAR,1
GCKR,0
CACNG6,0
GSTA2,0
ENTPD7,2
AFF1,2
TEPSIN,2
VCAN,1
SUV39H1,2
CYP2U1,2
SCNN1D,1
HAO2,0
ARF6,2
RAE1,2
KTI12,2
ITGA7,0
ADCY3,2
CLDN18,1
IRX4,1
KRT25,0
MPV17L2,2
DUPD1,0
PBX1,0
SLC25A42,2
CYP2C18,0
IGFBP1,1
PNPLA5,1
NFE2L3,1
CLPX,2
TMEM92,1
FOXRED2,1
MYOCD,0
PSMD6,2
PRKDC,2
SNAI3,0
SEC16B,1
ECHDC2,0
AC011604.2,1
MYL7,1
GRK3,2
CADPS2,0
HK1,2
SMURF2,2
PLA2G16,0
CPZ,1
UTRN,2
HPSE2,0
SEC61G,1
C20ORF27,2
SCN9A,1
DUSP22,2
PFDN2,2
BHMG1,1
PDZRN3,0
SPA17,2
XPO1,2
NAALADL2,0
IL17B,0
PRX,2
SLC5A8,0
HIST1H4D,1
THEMIS2,2
C10ORF10,0
LILRB4,1
DOCK5,2
LRRC30,0
TUSC2,2
IL15RA,2
TOR2A,2
ROPN1B,0
COX5A,2
AMDHD1,1
DBT,2
TOP2B,2
ARSI,1
SVIP,0
OSBPL3,2
CNGA1,0
FERMT1,1
DNAJC9,2
GOLT1B,2
CYP4F12,0
CLIC3,0
SHMT2,2
CERS2,2
C22ORF39,2
NOS1,0
RECQL,2
FAM13A,2
MXI1,2
RBSN,2
NSUN2,2
AGT,0
AC135050.2,1
IRAK1,2
KBTBD3,2
S100A16,2
ISY1,2
SFRP1,0
SLC5A11,1
MYO3B,1
NLRX1,2
POU6F1,2
HOXC12,1
GLYATL1,0
SPCS1,2
ERVV-1,1
FDX1,2
GAS2L2,0
SLC25A21,0
AADACL3,1
ATP12A,0
BMPR1A,2
LRRC58,2
POC5,2
CYP20A1,2
ZNF781,0
KRT71,0
OMA1,2
SMC4,2
POU2F2,1
CDK18,2
MAN1B1,2
SENP8,2
C1ORF21,2
UFD1,2
TMEM130,1
PPP1R27,0
MEFV,1
ELF5,0
GRAP,2
PCNX3,2
MSI1,1
RHOA,2
PGPEP1,0
CKAP5,2
POGLUT1,2
CAPS2,2
PGPEP1L,0
MAMSTR,0
KBTBD6,2
FGGY,2
LZTS3,0
ZNF181,2
DKK4,0
DEGS2,0
SAGE1,1
KLHL35,1
LRRC31,0
MSC,1
WDR5,2
ELF3,0
CRTAC1,0
TCEAL9,2
XRCC4,2
AADAC,0
TMEM8B,0
ZFAND5,2
LONRF2,0
CASZ1,2
DMXL1,2
CASTOR2,0
THY1,1
CCDC155,1
CFHR4,1
ZNF763,2
RHBDL1,1
RAC3,1
NEDD1,2
STX7,2
KCNF1,1
RNF208,0
FOXK2,2
AL031708.1,1
HIPK2,2
IDNK,2
ZBTB7A,2
CROT,2
CAPN12,1
ESM1,1
COL26A1,1
USP2,0
GRHL1,0
NDUFC1,2
RCE1,2
PRSS42,0
RASAL1,0
MRPL13,2
ZNF662,0
GCK,1
C1QTNF12,1
MTMR6,2
AJAP1,1
TPCN2,1
IRAK1BP1,2
IL26,0
MMP8,1
TRIM72,0
IL18BP,1
SDHC,2
RHOC,2
IGSF3,2
C14ORF180,0
PCNX2,2
PDZD8,2
TGM5,0
GPR89A,2
RELN,0
PDGFRB,1
CTXND1,0
GRM4,1
KISS1R,1
XPO5,2
HSD17B3,1
ALOX15,0
COX6B2,1
IFNE,1
ZNF280D,2
PCDHA12,0
LOX,1
SOWAHB,0
SCARF2,1
SPANXB1,1
TICRR,2
PDX1,1
MTF1,2
LPAR6,2
ARRB1,2
CCDC181,0
ZNF532,2
PANK1,2
PCGF2,2
DNAH14,1
STS,2
GPR180,2
TOR1B,2
IDH3A,2
UBE2B,2
PLAC8,0
IL1B,1
IQCK,2
SMG7,2
TMPRSS2,0
PNMA5,1
RIMS1,0
KSR1,2
CYP2E1,0
AHDC1,2
HIST1H2BI,1
KRT37,1
CYP11A1,0
4-Mar,1
EDEM2,2
NDUFA10,2
FUNDC2,2
NCALD,0
ASNS,2
HMGB2,2
STT3B,2
PUF60,2
KLHL30,0
NDRG1,1
MLLT6,2
ZNF618,2
POU6F2,1
YOD1,2
OXSM,2
CD1C,0
VPS52,2
PPP1R3F,2
INPP5J,0
AKAP5,1
RUNDC3B,0
SKP1,2
NARS,2
ESRRA,2
GLI1,1
TJAP1,2
ADCY6,2
ADAL,2
AFF2,1
B3GNT6,0
EXOC1,2
ARL14EPL,1
SLC16A4,0
CLDN6,1
SLC39A1,2
HHATL,0
AXDND1,1
ZNF251,2
CFAP69,2
IGSF10,0
RMND5A,2
SETD3,2
GDE1,2
PYCR2,2
HIST1H4H,1
CLDN10,0
FAT1,1
ZNF568,0
SCAP,2
MLXIPL,0
MAT2A,2
FBXO31,2
RAPSN,0
PSG6,1
CEP97,2
DPP3,2
UMPS,2
AGO2,2
PRICKLE4,0
TOP3A,2
TRPV3,1
MIIP,2
TMSB15A,1
GYS1,2
GIGYF2,2
BRK1,2
GTSF1L,1
AC011498.4,0
TYK2,2
TMEM185B,2
VSIG8,0
ASB18,0
SLC35G5,1
AHNAK,2
PLEKHA8,2
SERPINE2,1
PODN,0
RNPS1,2
ZNF418,0
CHADL,0
AHCYL2,2
SCGB1A1,0
ZHX1,2
BEST3,0
NCDN,2
BAX,2
IGSF8,2
TBX2,1
CACNA2D2,0
KIAA1217,2
PDE4B,0
BDH2,2
BRIX1,2
GABRA4,0
SLC35A4,2
CC2D2A,2
MPZL2,2
WDR38,0
GPR101,0
FSD1L,2
AL121845.3,2
KIFC2,2
BAG3,2
ARHGAP22,2
TFF3,0
CRYBG1,2
ADTRP,1
IL27RA,1
FAM110B,0
ETF1,2
CDC25A,2
SV2C,0
SMPD3,0
TAF7L,1
ARL6IP6,2
C7ORF61,1
SET,2
WNK4,0
EPB41,2
SAP18,2
TMEM263,2
TEKT1,0
WSB2,2
RBM19,2
GEMIN2,2
GALNT10,2
MYCT1,2
DPH7,2
TINAG,1
CAV2,2
ADAM33,0
TMBIM4,2
TPD52L1,2
SCGB3A1,0
DDIT3,1
KLHL40,0
PRUNE2,0
ADAM23,1
SP140L,2
MYL1,0
GRAMD1C,0
SLC22A11,1
HIPK3,2
GABRG2,1
MTA1,2
CCNDBP1,2
BAK1,2
TNFRSF8,1
SEC61A1,2
CHAF1B,2
RSPH3,2
SLC14A2,0
DSE,2
TTC12,2
CTSZ,2
SLX4IP,2
TRAF1,1
ABCC5,1
SPRY2,0
ACADL,0
AK3,2
CSE1L,2
TMX4,2
UNC119,2
PPP1R14C,1
MAPRE2,2
PPDPF,2
C19ORF48,2
MAP2K6,0
GALNT5,0
PTGDR2,0
TAF2,2
GJA1,1
HSPB2-C11ORF52,0
DRD4,1
CDO1,0
ANKRD66,0
GCC2,2
TRABD2A,1
CHDH,0
TBKBP1,2
SPDYA,1
CD3EAP,2
FAR1,2
KRCC1,2
CKAP4,2
CNN1,0
COMMD2,2
WDR75,2
SMIM3,2
DUSP14,2
EYA2,0
SLPI,0
UBC,2
EXTL2,2
GAPDHS,0
SLC44A2,2
IGF1R,2
AL136295.5,2
FCN2,0
ITGA9,0
PRKAR2B,0
SLC6A12,1
FOXB1,1
COPS4,2
PSD2,0
GJD4,0
TGM1,0
LMO7DN,0
RECK,0
HMCES,2
PAQR9,0
KCNJ10,1
PCDHAC1,0
SNRNP40,2
TSHZ2,0
ZC3H12D,1
MX1,1
SIGMAR1,2
ZNF33B,2
RIC3,0
GAB2,2
SRPK2,2
OR51E1,1
MEN1,2
TSPAN1,0
SERPINB6,2
TBX18,1
TRAPPC12,2
ALB,1
TMEM40,0
PEX7,2
PSTPIP1,1
LRRC4C,0
TRH,0
ROPN1L,0
MFSD6,2
FANCD2,2
ZNF880,0
FBXO3,2
P2RY2,0
EDA2R,0
C1ORF159,2
RFK,2
DDOST,2
INPP4A,2
AZIN2,1
SERPINB13,0
TMEM114,1
ZNF853,0
JADE2,1
PDIA6,2
DESI2,2
PREX2,0
CEP135,2
RPN2,2
VIRMA,2
GNB1L,2
LONRF1,2
KPNA5,2
TEX15,1
PTGR2,2
SYBU,0
BTBD16,1
COL18A1,2
KLHDC8A,0
KCNG3,1
RPS6KC1,2
HDAC4,2
ACTN1,2
KIF20B,2
OGDH,2
EPS15,2
CFAP43,0
CLMN,2
CDS1,2
SLC7A5,1
PTPN3,2
VPS26B,2
MAFF,2
GNPAT,2
LYRM9,2
FGD4,2
TREML2,1
TMED8,2
SHCBP1L,1
FASTKD3,2
NKX6-2,0
PRKCQ,0
E2F4,2
ABCB7,2
KHDRBS2,0
ZNF639,2
SLC38A6,2
PTGIS,0
IK,2
CCL26,1
CRHR2,0
SOCS4,2
DZIP1,2
GTF2H4,2
LRRC42,2
B3GNT8,0
OXNAD1,2
TMSB15B,1
PRR5-ARHGAP8,1
CMTM3,2
SETD2,2
ATP9B,2
TCEA1,2
NFYA,2
CLIC6,0
ZBTB20,2
RDH5,0
GSDMD,2
CCDC141,0
DCAF4,2
CNPY3,2
WISP3,1
HDGFL3,2
DHRS9,0
KCNJ12,0
NFE4,1
BRD9,2
ESPL1,2
DLK1,0
RNF34,2
GP2,0
LIME1,2
TMEM235,1
PPFIBP2,2
PCGF6,2
SFXN1,2
RAPGEF2,2
FAM26F,1
AKR1C3,1
PIAS1,2
CFAP157,2
LIFR,0
TMPRSS11E,0
POMT2,2
TSPYL4,2
UPK3B,0
MOB3B,1
TBC1D10B,2
MRM2,2
APLP1,1
GLUL,2
TFPI2,1
HOXA1,1
ATP5L,2
FAM133A,1
EVA1C,0
MICA,2
SLC25A3,2
ZNF319,2
MOAP1,2
SUCLA2,2
PLXNA3,2
UQCRC1,2
SDF4,2
SART1,2
TAMM41,2
IFT172,2
STX6,2
HECTD4,2
HCFC2,2
BATF2,1
CFAP99,0
HTR3E,1
PPM1G,2
DIRAS1,0
BHLHE40,2
DNM1,1
LMNB1,2
ARRDC3,2
SLC2A14,1
POLG2,2
OGFR,2
LAYN,1
SALL1,1
SPAG4,1
MORN3,1
RIBC1,0
N4BP2L2,2
DEPDC7,2
CRKL,2
LRRTM2,1
TMEM229A,0
TRMT112,2
KLF8,0
STXBP5,2
TNFSF15,0
ACTRT3,2
VAV3,0
LEMD2,2
CPOX,2
SLFN12L,2
MS4A14,1
NAT9,2
WDTC1,2
TGS1,2
ADH5,2
LYG1,1
RNF212B,1
NPAS2,2
SPANXC,1
SPATA33,2
ABCC9,0
SLC25A22,2
DMRTA2,1
CLDN7,0
CCDC142,2
MICU3,0
RBM28,2
ETV2,2
DMTF1,2
P2RX6,0
CASC10,1
PARL,2
SLIT3,0
RHOF,1
FAM198A,0
GALNT6,1
NMT1,2
TST,2
TMEM81,2
LAT,1
HOXA9,1
IL33,0
SAMD14,2
MMP28,1
SENP1,2
HIST1H2AH,1
CHST14,2
MYOZ2,0
ZNF737,0
ARHGAP18,2
KCNN2,0
FNDC1,1
FGF6,0
REN,0
JAKMIP2,1
RPL10A,2
EFCAB14,2
C5ORF60,1
HBP1,2
DES,0
TBR1,1
CHST3,2
TOR1AIP1,2
ZNF654,2
USF1,2
PGD,0
TGM4,1
ARHGAP4,1
LRRC69,1
TRIM65,2
DAGLB,2
VPS9D1,2
ZNF433,0
FO681492.1,0
PEX11B,2
PSMB4,2
TTC36,0
MED27,2
LEMD1,1
SPAG17,0
PRPF3,2
MANBA,2
CACNA2D1,0
INTS7,2
TCEAL5,0
RAB5C,2
TMX1,2
PPM1H,0
CAPRIN2,2
PIP5K1B,0
GTF3C1,2
KNDC1,0
ZNF331,2
XPO6,2
ADCK5,2
FAM161B,2
PALB2,2
SLC1A5,2
CAMSAP1,2
TMEFF2,0
PARD3,2
DNER,0
CAPZA2,2
PXMP4,2
ZFP69,2
PHF10,2
IFNG,1
UHRF2,2
MBNL3,2
DKK1,1
ATP6V0E2,0
GPR84,1
FAM122A,2
QRFPR,1
HAUS6,2
CCDC85A,0
AXIN1,2
DUSP27,0
HIF1A,2
SLC9A4,0
MAP3K7CL,0
PCDHAC2,0
H2AFX,2
CHST6,0
CDH6,2
AQP3,0
SEMA3E,0
PGGT1B,2
DACH1,0
SNX5,2
C10ORF71,0
HIST1H3I,1
DHX36,2
RHOQ,2
TM6SF1,0
CSRP1,2
SLC8A2,1
CLEC6A,1
MTMR3,2
ACYP1,2
EIF2B4,2
ULK1,2
ZNF671,2
TEAD1,2
SLC7A7,1
ZNF57,2
DPM2,2
SENP2,2
RYR3,0
VDAC3,2
AP1S1,2
WEE1,2
ANXA5,2
SLITRK2,0
AMHR2,0
AMY1B,0
DHX58,2
ETS1,2
IGFBP3,1
RGS11,0
MTCL1,2
BEST2,1
OR1F1,1
EMP2,2
GPR137B,2
SLC16A3,2
HIPK1,2
LILRA6,1
UBA3,2
ATP5J,2
ARSE,1
GOLGA8B,1
PDE2A,0
NFATC2IP,2
C9ORF40,2
MAP3K1,2
STX19,0
UXS1,2
PLCL2,0
FAM114A2,2
MUC16,0
OR6C70,1
TSHZ3,2
LRP2BP,2
CCL16,0
MAS1L,0
BCL2L2-PABPN1,1
TEX9,2
AP1M1,2
ABCA6,0
CFP,0
SUMO4,1
SULT2B1,0
COL14A1,0
AP3M2,2
RREB1,2
CRYZL1,2
ETV3L,1
TMEM71,0
CAV3,0
TRPC6,2
VAX1,1
LRMP,0
GORAB,2
SLC46A3,2
ZC3H3,2
DNAH3,0
TBC1D2B,2
WWP2,2
CAMKK2,2
HBE1,1
KIF15,2
ANKRD28,2
CTAGE5,2
ZNF670-ZNF695,1
RASAL2,2
SLC39A13,2
DBNDD1,0
MRPS31,2
MEST,1
COL17A1,1
TREML4,1
SPINK14,0
PLA2G2A,0
JPT2,2
ZP4,1
AC092821.1,1
SH3GL1,2
PLSCR1,2
TAB3,2
DPP6,0
WRAP53,2
PURA,2
IFITM3,2
FANK1,2
IQCG,1
WDYHV1,2
IGBP1,2
CLEC10A,0
HYKK,2
RALGAPA1,2
FNBP1L,2
SULT1E1,1
TMPRSS11A,0
ZNFX1,2
DEFB1,0
TRIM28,2
CAMK2G,2
AZI2,2
TINAGL1,1
GABRP,0
MUC20,0
SLC28A3,1
DTWD2,2
GOLGA8R,0
VPS51,2
SGPP1,2
MFSD12,2
TTI1,2
RGMA,0
PTPN5,0
CFAP20,2
BRSK1,1
UFSP2,2
MTMR11,2
CNNM2,2
LGALSL,0
GAK,2
TDRD6,1
TTC9C,2
ELFN2,1
GPC1,2
STK31,1
PRCP,2
TMPRSS6,1
NOMO1,2
ISG20L2,2
GNAI1,2
PAICS,2
COX10,2
TRIM36,1
MKNK1,2
REEP6,0
ABCC6,0
CXCR1,1
HOOK3,2
UGT2B28,0
XPO4,2
MAD1L1,2
NBPF20,2
MTRF1L,2
GRPEL2,2
PIEZO2,1
GRINA,2
RAD9A,2
GUCY1B3,1
CXXC4,0
ADGRL2,0
ERH,2
KIRREL2,1
MAP3K21,2
RBMS3,2
ROM1,2
DOPEY1,2
OXGR1,0
PDE7B,0
SLC26A9,0
GBP1,1
DIRC3,1
PIGX,2
LDB2,2
TRMU,2
CCDC153,2
F11R,2
STAT4,2
CXCL8,1
FN3K,0
RNF144A,2
PRTFDC1,1
MCUB,2
TATDN3,2
PYGL,1
TRIM29,2
CCDC18,2
ARHGEF3,2
SMTN,2
KLHDC8B,2
PSMD14,2
ZDHHC3,2
POP1,2
SLC4A3,2
IMPDH2,2
EGFL6,1
PAOX,2
RBFOX3,1
FCRL3,1
STK4,2
DPF2,2
MFSD5,2
PYROXD1,2
STX16,2
ZNF169,2
C11ORF71,2
C1ORF194,0
SYNJ2,2
TTC19,2
P2RY4,0
MIF,2
ATP10B,0
ANP32B,2
KRT34,0
EMC8,2
KIF21B,2
SRR,2
TNFAIP8,2
PPP2CB,2
ARAP3,2
NAGPA,2
CIDEB,2
AMMECR1L,2
POFUT2,2
TRAPPC8,2
HOXB6,1
RAB39A,1
HECW2,2
ZNF800,2
KYAT3,2
SLC7A6,2
CDH15,0
LTA4H,2
TIGD5,2
SUMF1,2
PFN2,1
FTL,2
HACL1,2
SYDE2,0
AKR1C1,1
KANK1,2
KLF17,1
RPS6KA1,2
APOL2,2
SLC2A10,0
CDON,0
SDK1,1
TMEM270,1
TMEM45B,0
ZNF280C,2
TMEM268,2
AC010542.3,0
PIGL,2
NPY2R,0
MYO19,2
TEK,0
HHIPL1,1
TMLHE,2
MEIS3,1
LCN2,0
PEX3,2
DPP8,2
FAM159A,1
GIT1,2
NOX5,1
PTPN7,1
APC2,2
PRF1,1
SPTBN2,2
MON1A,2
PPM1A,2
HEATR6,2
TIAM1,2
WDR7,2
NPRL2,2
PPP1R35,2
TGIF2,2
EPN3,2
TMEM62,2
NSUN5,2
TBCCD1,2
HES2,1
R3HCC1L,2
CREBRF,2
ATP8A2,1
ZFP69B,2
TMEM106A,2
SSPN,0
AGBL2,2
CCM2L,2
EFNA5,2
SMPD1,2
CHCHD10,0
ZNF431,2
EMILIN1,1
MTUS1,2
JUNB,2
ZNF423,0
TFG,2
SPHKAP,0
C4BPB,0
ENPP5,0
FOXI1,0
C9,1
RUFY3,2
MLH1,2
MTHFR,2
HGD,0
MSTO1,2
TOX3,0
MUS81,2
KIF4B,1
IL12RB1,1
ZC3H6,2
SPATA5,2
ZBTB7C,0
NAT8L,0
CABP7,1
SLC9C1,1
PFKFB4,2
FAM58A,2
INVS,2
POLR2G,2
EIF3B,2
ZNF493,0
TCEAL1,2
TNMD,0
PDK1,2
VAMP2,2
RNF223,0
VAX2,1
TMEM155,1
CD68,2
SLC22A4,2
PCP4L1,0
NCR1,1
IP6K3,0
LIMA1,2
RPL29,2
ROS1,1
PROKR1,0
SLC39A8,2
FH,2
EBF2,0
OTOP2,0
METTL9,2
ANKRD37,0
CALD1,2
NEU1,2
CCPG1,2
TFAP2B,0
MAP4,2
ADRB1,0
SPEF2,0
APOC2,1
PHLDB3,2
TOX,1
MXD1,0
NPR1,0
HTRA3,1
PRDX6,2
NPHP3,2
KCTD8,0
EDIL3,1
HEMK1,2
ITGB6,1
ATP5G2,2
FN3KRP,2
MCTP1,2
APOF,0
CCDC197,0
C11ORF57,2
XIRP2,0
SLC12A8,2
TUBG2,2
CCDC24,2
RPS6KA4,2
C7ORF57,0
IER2,2
PLA2G2F,1
PLIN2,0
CDCA7,2
GLI3,2
SCUBE1,0
AFG1L,2
ADGRG6,0
HSPA13,2
SQLE,2
IDE,2
TBC1D5,2
TCIRG1,2
ITPK1,2
CNN3,2
PCED1A,2
PRDX2,2
TRIM2,0
CAMK4,1
DOC2B,0
ABCB9,2
GLIS2,2
EFHD1,0
KIAA1109,2
CEP164,2
LSM4,2
TMEM145,1
ERN2,0
KLHL18,2
PUS1,2
LMAN2L,2
FPR3,1
RBBP8NL,0
COLEC11,1
IRF7,1
RBM46,1
KRBA1,2
MYH14,0
CRCT1,0
MED22,2
ZER1,2
PARP10,2
ARL14EP,2
MUC12,1
PRAC2,1
SEM1,2
MICALL2,2
APOBEC3H,1
SLC27A2,0
C3,0
TDRD5,1
HBQ1,1
SLAIN1,0
LRFN1,1
FAM102A,2
LCN8,0
PLXND1,2
PLCE1,2
ALX1,1
CDH19,0
KIF7,2
TNRC18,2
GFY,1
FES,2
AP1B1,2
C18ORF32,2
MROH2A,1
PDE1C,0
ALPK2,0
CTNNBL1,2
NIPSNAP1,2
ZNF852,2
FAM71A,0
PYM1,2
APOBEC3G,1
NFKBIE,2
SLC33A1,2
SLC7A11,1
NOP2,2
CLDN17,0
PSMG3,2
GGH,2
DUSP16,2
ABCG1,2
CD86,2
SAA1,0
CEP95,2
HMGN5,0
FOXN3,2
TPST2,2
TMEM229B,1
UBE2E1,2
AP5M1,2
TBPL1,2
HCN1,0
ELL3,2
PLAGL1,2
MAP4K4,2
EML5,1
NTF3,0
MPHOSPH9,2
PARP4,2
SATL1,1
SYDE1,2
MAST4,2
B4GALT2,2
OPN1SW,2
MATN4,0
DCX,0
RNF219,2
HOMER2,2
PYY,1
HTR1F,1
CHRNA9,1
XPC,2
TNK2,2
LRCH4,2
ENSA,2
SFTA2,0
RAD1,2
CXORF67,1
PTGS2,1
NPAS3,0
FAM81B,0
PER1,2
ST20,2
SEPT11,2
THTPA,2
FOXN2,2
ARFIP1,2
ALDH4A1,2
SFXN5,2
SPG21,2
GPSM1,2
AKAP9,2
FGF20,0
ARL13B,2
FCER1G,2
REPIN1,2
ADORA1,0
HLA-DOB,2
CENPU,2
HRCT1,0
AFP,1
TBRG4,2
FAM221A,0
RCOR3,2
FLAD1,2
AFTPH,2
AARD,0
TRAF2,2
RIN2,2
TNFSF10,2
PNPLA4,2
SLU7,2
KCNJ6,1
GNG11,2
GMEB2,2
PSMD3,2
YPEL4,2
GALE,2
ARMC1,2
SYTL1,2
DHDH,1
KCNC1,0
C10ORF142,0
GOLGA6L6,1
TMEM200A,1
CASP8,2
SYT8,0
KLF5,2
FAM13B,2
CASD1,2
FLVCR1,2
OLFM4,0
LZTR1,2
ICA1L,2
HEATR5B,2
CEP170,2
RFFL,2
HSBP1,2
CDC27,2
SLC39A10,2
ZMYND10,0
LRRC6,0
CHRNB1,2
ECHDC3,0
VSIG10,2
DHDDS,2
ZDHHC21,2
MAP3K14,2
TFEC,1
CLEC2D,2
CLEC17A,1
SMIM31,0
AQP10,1
DAPK2,2
PKM,2
ZNF727,0
ST3GAL2,2
PRMT8,1
SYT12,1
TMEM151B,1
TFR2,1
NEFH,1
KIR2DL4,1
PSMA4,2
HSPA5,2
ANKRD20A4,0
ZNF554,2
DCUN1D5,2
ECE1,2
ZDHHC18,2
ADAMTSL3,0
SMPX,0
APOC4-APOC2,1
DDI2,2
AMOTL2,2
RPS23,2
CLUH,2
TAS2R38,1
FTCDNL1,0
DCDC2,0
LIPI,0
STOML3,0
C1ORF131,2
FBLN5,0
TMEM209,2
A2M,2
TP53I3,2
DIXDC1,2
TRAPPC11,2
PTPN2,2
DZIP1L,1
HAUS2,2
ASPG,0
PPP3CC,2
HNF1A,1
RAB40A,1
NONO,2
NACA,2
AMPD2,2
SAMD10,2
SLC35F1,0
SF3B2,2
LRRC66,0
SLC25A26,2
UBE3A,2
HSPA1L,2
LRRC59,2
MTMR8,0
CRHBP,0
KLHDC2,2
RIPK4,2
TRIL,0
TBXA2R,2
DNAJC2,2
CDH2,1
ATP5C1,2
ARHGAP33,2
PCGF5,2
FAM196B,0
RELB,2
TAF1C,2
SLC39A6,2
SLCO1B7,1
SOWAHA,0
ZNF286B,2
CNFN,0
SMR3A,0
RUNDC3A,1
SPRR2F,0
TIMM23B,2
CDX2,1
ZBTB42,2
INSRR,1
FAM189B,2
KLHL14,0
CCDC116,1
SMIM10,0
ANKRD31,0
PDRG1,2
ATP2B1,2
REG1A,1
MT1X,0
ZBED3,0
BTG4,1
SNX2,2
ABCC1,2
TFF1,0
S100B,0
LANCL1,2
POLE3,2
A4GNT,1
PPA2,2
GNA13,2
TIGD3,1
LTBP4,2
IGSF9,2
B4GALNT4,1
AQP2,0
TMEM250,2
NABP2,2
MZT1,2
ZNF438,2
SLC2A9,2
RPS6KA2,2
GPR68,1
PDE1B,2
CNGA3,0
C20ORF85,0
LYSMD3,2
NPIPB11,1
KLC2,2
NEURL3,0
CCDC154,1
DDX27,2
LARS,2
EPB41L1,2
MYF6,0
CRYBB3,1
SAA4,0
ABCC10,2
LHCGR,0
CLCC1,2
NAPA,2
TMEM184A,0
CDC42BPG,2
LYRM1,2
RIPOR3,1
GPR108,2
SHOC2,2
RHBDL2,2
FAM135B,0
SRSF5,2
LSAMP,1
PRDM2,2
HOGA1,0
EBNA1BP2,2
ASXL1,2
QTRT2,2
SAMM50,2
TBPL2,1
SCD5,2
HIST1H3A,1
TMEM231,2
IGFBPL1,1
SMUG1,2
MT3,0
HNF4A,1
ATP1A3,0
CCDC30,2
ZNF774,2
MIGA2,2
RHBDL3,1
SYCE2,1
SSX1,1
RNFT2,1
ADAMTS1,0
ABCC4,2
A1BG,1
BRSK2,1
USHBP1,2
HIST1H3F,1
CYP7B1,0
ALKBH7,2
RARG,2
PCDHB14,2
PSMA6,2
ACBD6,2
TOGARAM1,2
S100A8,0
CACNA2D3,0
HPS4,2
RBM3,2
GLIPR1,2
SLC26A10,1
TTC29,0
MEDAG,0
RNF222,0
CCNL2,2
IL37,1
PACSIN3,2
KLF3,2
PIP5KL1,2
RC3H2,2
KIF21A,2
ART5,0
C5ORF67,0
NIPAL2,2
ZMYND19,2
BTN3A1,2
CASP9,2
SEC61A2,2
SLC1A6,1
NUTM2G,2
RBM15B,2
SLC12A9,2
BMP8B,2
MAOB,0
MID2,2
UGGT1,2
FAM46B,0
SMG5,2
TEX22,1
SNCB,1
STPG4,1
ANKRD61,2
IQCC,2
CCT6A,2
MKRN3,1
NAB2,2
KLK11,0
DAPP1,2
IL11RA,2
KDELR2,2
TMEM63B,2
MITD1,2
HAPLN3,2
ST8SIA6,0
BAIAP2L1,2
DKC1,2
TXNIP,2
ZNF598,2
CACNA1D,0
GRIK3,0
PRKCG,1
ALDH1A2,0
GMFB,2
TMPRSS15,1
SLC25A47,1
YIF1A,2
ZNF649,2
SMARCB1,2
SMC6,2
IZUMO1,1
SCGB1D2,0
ELOVL1,2
RAB29,2
KLHDC10,2
ANKRD22,0
MAGEE2,0
LGI4,2
TMC4,0
GPR146,2
ATXN7,2
CTR9,2
COA6,2
CARF,2
TAF5L,2
ZBTB34,2
SLITRK4,0
SIRPG,1
WNT7A,1
PIWIL1,1
MUTYH,2
UTP6,2
KPNA3,2
HGH1,2
EGFR,1
MCFD2,2
SLC29A4,1
ALG10,2
USP41,1
ZNF668,2
MYL5,2
GRM8,1
LSM11,2
MARK3,2
OMP,0
ARHGAP44,2
CEP250,2
LMF1,2
GOLGA7B,1
TENM1,1
SGMS2,2
ZNF354A,2
GNAQ,2
PODNL1,2
NPDC1,0
DMC1,1
SLFN11,2
CSTF3,2
DUT,2
NOA1,2
PTN,0
ANGPT1,0
PRKACB,2
DKK3,2
TRIT1,2
EOMES,1
ZNF284,2
RRM1,2
RPP25,2
SLC35A3,2
SEMA4D,2
SH2B3,2
DIS3L,2
LYPD3,0
EPHA1,2
ZPBP2,1
ANKRD6,0
F5,0
HAVCR2,2
FABP6,1
ABCD2,0
THOC7,2
BRICD5,1
USP49,2
BMF,2
LRIG1,2
TRIM16,2
SLC24A5,0
SLC13A5,1
PXYLP1,1
DISP1,2
P4HTM,2
SERPINB2,0
CASTOR1,2
SIDT1,0
EIF2AK4,2
GPR132,2
ABHD17B,2
MUC4,0
SPINK6,1
RND3,2
LYPD2,0
GUCY2C,0
ZNF133,2
MEPE,1
IL22RA2,1
MYH9,2
GSG1L,0
